MODULAR VEST SYSTEM - COMPLETE SPAWNABLE CLASSNAME LIST
Generated directly from: pack\ModularVestSystem\config.cpp
Only classes with scope = 2 are included.
Generated: 2026-09-05 20:00:59

TOTAL SPAWNABLE CLASSNAMES: 575

======================================================================
VESTS / CHEST RIGS
COUNT: 16
======================================================================
MVS_ChestRig_Black  |  MVS Chestrig - Black
MVS_ChestRig_ERDL  |  MVS Chestrig - ERDL
MVS_ChestRig_Multicam  |  MVS Chestrig - Multicam
MVS_ChestRig_Multicam_Black  |  MVS Chestrig - Multicam Black
MVS_ChestRig_Multicam_Tropic  |  MVS Chestrig - Multicam Tropic
MVS_ChestRig_OD  |  MVS Chestrig - OD
MVS_ChestRig_Snow  |  MVS Chestrig - Snow
MVS_ChestRig_Tan  |  MVS Chestrig - Tan
MVS_Combat_Vest_Black  |  MVS - Black
MVS_Combat_Vest_ERDL  |  MVS - ERDL
MVS_Combat_Vest_Multicam  |  MVS - Multicam
MVS_Combat_Vest_Multicam_Black  |  MVS - Multicam Black
MVS_Combat_Vest_Multicam_Tropic  |  MVS - Multicam Tropic
MVS_Combat_Vest_OD  |  MVS - OD
MVS_Combat_Vest_Snow  |  MVS - Snow
MVS_Combat_Vest_Tan  |  MVS - Tan

======================================================================
HEAVY VESTS
COUNT: 16
======================================================================
MVS_Combat_Vest_Heavy_Black  |  MVS Heavy - Black
MVS_Combat_Vest_Heavy_ERDL  |  MVS Heavy - ERDL
MVS_Combat_Vest_Heavy_Multicam  |  MVS Heavy - Multicam
MVS_Combat_Vest_Heavy_Multicam_Black  |  MVS Heavy - Multicam Black
MVS_Combat_Vest_Heavy_Multicam_Tropic  |  MVS Heavy - Multicam Tropic
MVS_Combat_Vest_Heavy_OD  |  MVS Heavy - OD
MVS_Combat_Vest_Heavy_Snow  |  MVS Heavy - Snow
MVS_Combat_Vest_Heavy_Tan  |  MVS Heavy - Tan
MVS_Heavy_Pouch_Black  |  MVS Heavy LMG Pouch - Black
MVS_Heavy_Pouch_ERDL  |  MVS Heavy LMG Pouch - ERDL
MVS_Heavy_Pouch_Multicam  |  MVS Heavy LMG Pouch - Multicam
MVS_Heavy_Pouch_Multicam_Black  |  MVS Heavy LMG Pouch - Multicam Black
MVS_Heavy_Pouch_Multicam_Tropic  |  MVS Heavy LMG Pouch - Multicam Tropic
MVS_Heavy_Pouch_OD  |  MVS Heavy LMG Pouch - OD
MVS_Heavy_Pouch_Snow  |  MVS Heavy LMG Pouch - Snow
MVS_Heavy_Pouch_Tan  |  MVS Heavy LMG Pouch - Tan

======================================================================
HELMETS
COUNT: 53
======================================================================
MVS_6B47_Helmet_Black  |  MVS 6B47 - Black
MVS_6B47_Helmet_OD  |  MVS 6B47 - OD
MVS_6B47_Helmet_Tan  |  MVS 6B47 - Tan
MVS_Altyn_Black  |  MVS Altyn Helmet - Black
MVS_Altyn_OD  |  MVS Altyn Helmet - OD
MVS_Altyn_Tan  |  MVS Altyn Helmet - Tan
MVS_Altyn_Visor_Black  |  MVS Altyn Visor - Black
MVS_Altyn_Visor_Lifted_Black  |  MVS Altyn Visor - Black
MVS_Altyn_Visor_Lifted_OD  |  MVS Altyn Visor - OD
MVS_Altyn_Visor_Lifted_Tan  |  MVS Altyn Visor - Tan
MVS_Altyn_Visor_OD  |  MVS Altyn Visor - OD
MVS_Altyn_Visor_Tan  |  MVS Altyn Visor - Tan
MVS_ArmoredHelmet_Black  |  MVS Armored Helmet - Black
MVS_ArmoredHelmet_ERDL  |  MVS Armored Helmet - ERDL
MVS_ArmoredHelmet_Multicam  |  MVS Armored Helmet - Multicam
